ID,Gender,Temperature,Humidity,Age,Period,ReportedCases,LabConfirmed,ReportedDeaths,ConfirmedDeaths,OutbreakStatus
1354778,Female,21,77,32,April,171,80,34,23,Yes
1147438,Female,22,75,32,April,92,93,47,36,Yes
1640031,Female,21.5,65,32,April,115,47,52,35,Yes
1883350,Female,18,72,32,April,103,78,25,304,Yes
1424119,Female,17,76,32,May,85,59,27,35,Yes
1619297,Female,17.5,74,32,May,82,92,9,253,Yes
1660149,Female,20,73,32,April,133,47,19,227,Yes
1458769,Female,21.5,71,32,April,67,87,43,36,Yes
1201647,Female,19,68,32,June,80,95,33,24,Yes
1403912,Female,19.5,65,32,July,72,31,40,42,Yes
1943830,Male,16,66,32,August,88,86,11,58,Yes
1824483,Male,16.5,67,32,April,94,96,31,36,Yes
1848869,Male,20,69,32,October,114,101,43,70,Yes
1669231,Male,21.5,64,32,February,110,82,16,44,Yes
1683688,Male,22,63,32,March,148,58,11,179,Yes
1738587,Male,23,64,32,March,109,77,46,61,Yes
1884264,Male,21,64,32,March,106,64,25,51,Yes
1485251,Male,22,67,32,March,156,53,15,226,Yes
1536832,Male,22,57,32,March,117,39,32,164,Yes
1438701,Male,22,55,32,March,102,100,25,289,Yes
1359971,Male,22,56,32,March,92,84,8,324,Yes
1631185,Male,22,54,32,March,118,95,7,276,Yes
1061812,Male,22,53,32,March,82,55,18,165,Yes
1218879,Male,22,58,21,March,124,82,42,266,Yes
1940297,Male,22,61,21,March,44,81,46,146,Yes
1710438,Male,22,60,21,March,104,68,42,40,Yes
1139740,Male,23,61,21,April,135,91,31,14,No
1398321,Male,23,62,21,April,163,87,42,428,Yes
1975790,Male,23,63,21,April,119,50,52,16,No
1721341,Male,23,64,21,April,70,64,9,16,Yes
1121857,Male,23,65,21,April,75,89,8,541,Yes
1117458,Male,23,66,21,April,152,83,42,46,Yes
1083679,Male,23,67,21,April,149,50,8,67,Yes
1140806,Male,23,68,21,April,123,61,29,46,Yes
1110369,Male,23,68,21,April,74,87,33,469,Yes
1411676,Male,23,67,21,April,45,66,44,31,Yes
1698452,Male,23,67,21,April,152,47,44,79,Yes
1647913,Male,23,67,21,April,85,81,31,21,Yes
1103142,Male,21,67,21,April,104,77,47,70,Yes
1798712,Male,21,67,21,April,108,95,10,232,Yes
1174304,Male,21,67,21,April,118,61,56,66,Yes
1375088,Male,21,67,21,March,85,80,35,190,Yes
1446157,Male,21,67,21,March,148,69,11,48,Yes
1835203,Male,21,65,21,March,76,85,25,471,Yes
1019771,Male,21,65,21,March,104,52,41,323,Yes
1636522,Male,21,65,21,March,165,64,7,83,Yes
1887689,Male,21,65,21,March,117,95,26,159,Yes
1882185,Male,21,64,21,May,104,51,7,24,Yes
1662484,Male,21,63,21,May,73,61,35,24,Yes
1228510,Male,21,62,21,May,115,50,29,243,Yes
1380720,Male,21,65,21,June,105,66,28,230,Yes
1117370,Male,21,65,21,July,50,68,41,59,Yes
1463210,Male,21,65,24,August,108,41,34,129,Yes
1300239,Male,21,65,54,September,134,83,24,302,Yes
1900978,Male,21,65,21,October,124,49,7,34,Yes
1764496,Male,21,65,32,November,90,86,10,23,Yes
1439246,Male,21,65,31,December,121,54,23,46,Yes
1935749,Male,21,65,25,January,125,79,45,29,Yes
1285028,Male,21,65,25,February,80,85,24,29,Yes
1307013,Male,21,65,21,March,78,50,43,128,Yes
1011054,Male,21,65,21,April,67,78,30,30,Yes
1953939,Male,21,65,21,May,118,42,24,71,Yes
1995399,Male,21,65,44,June,56,87,22,479,Yes
1988885,Male,21,65,32,July,87,57,10,68,Yes
1035503,Male,21,65,60,August,100,76,22,62,Yes
1638179,Male,21,65,21,September,137,79,31,178,Yes
1968390,Male,21,65,21,October,91,48,15,170,Yes
1687914,Male,21,65,50,November,104,68,91,250,Yes
1074476,Male,21,65,26,December,79,43,17,22,Yes
1642646,Male,21,65,26,January,138,68,9,27,Yes
1521849,Male,21,65,26,February,115,40,8,250,Yes
1912150,Male,21,65,23,March,157,67,52,51,Yes
1861182,Male,21,65,26,April,118,65,33,35,Yes
1470053,Male,21,65,32,May,68,85,9,44,Yes
1056479,Male,21,65,33,June,109,73,25,95,Yes
1693341,Male,21,65,21,July,76,82,31,34,Yes
1725519,Male,21,65,26,August,77,76,42,64,Yes
1261834,Male,21,65,26,September,157,66,34,48,Yes
1302648,Male,21,65,43,October,105,61,26,60,Yes
1488702,Male,21,65,32,November,71,27,52,33,Yes
1825159,Male,21,65,24,December,69,55,26,29,Yes
1742181,Male,21,65,23,January,144,59,15,40,Yes
1430156,Male,21,65,25,February,90,58,20,27,Yes
1591258,Male,21,65,49,March,57,54,22,14,Yes
1943301,Male,21,65,32,April,88,65,46,28,Yes
1520875,Male,21,65,31,May,93,78,35,45,Yes
